char_name,profession,sub_profession,rarity,skill_index,skill_name,damage_type,scenario,target_def,target_res,atk_final,atk_base,trust_atk,pot_atk,mod_atk,tal_atk_pct,mult,hit_times,max_target,duration,interval,attack_count,per_hit_raw,per_hit_eff,burst_raw,burst_eff,dps_eff,cycle_dps_eff,heal_total,heal_dps,heal_cycle_dps,chain_times,aoe_total_raw,elemental_total,elemental_dps,time_to_burst,burst_trigger_dps,burst_extra_dps,burst_dps,sp_type,sp_cost,init_sp,module_used
阿,SPECIAL,geek,5,2,爆发剂·榴莲味,physical,base,0,0,828.0,703.0,50.0,0.0,75.0,0.0,1.5,1,1,20.0,0.8387096774193549,23,1242.0,1242.0,28566,28566,1428.3,1142.6,,,,,,,,,,,,1,35,30,毒医残章
艾拉,SPECIAL,traper,5,2,“博萨克风暴”,physical,base,0,0,728.0,588.0,80.0,0.0,60.0,0.0,2.565,1,1,20.0,0.5,40,1867.3,1867.3,74692,74692,3734.6,1436.4,,,,,,,,,,,,1,34,16,社会期望背包
艾丽妮,WARRIOR,sword,5,0,起风,physical,base,0,0,781.0,621.0,80.0,0.0,80.0,0.0,2.0,1,1,,,1,1562.0,1562.0,1562,1562,,,,,,,,,,,,,,2,3,0,审判官口粮
艾丽妮,WARRIOR,sword,5,1,裂潮,physical,base,0,0,781.0,621.0,80.0,0.0,80.0,0.0,4.0,1,6.0,,,1,3124.0,3124.0,3124,3124,,,,,,,18744,,,,,,,2,8,6,审判官口粮
艾丽妮,WARRIOR,sword,5,2,判决,physical,base,0,0,781.0,621.0,80.0,0.0,80.0,0.0,3.0,1,1,,,1,2343.0,2343.0,2343,2343,,,,,,,,,,,,,,2,24,16,审判官口粮
艾雅法拉,CASTER,corecaster,5,1,点燃,arts,base,0,0,976.0,645.0,90.0,0.0,65.0,0.22,1.85,1,1,6.0,,1,1805.6,1805.6,1805,1805,300.9,164.1,,,,,,,,,,,,1,5,0,“错过的声音”
艾雅法拉,CASTER,corecaster,5,2,火山,arts,base,0,0,976.0,645.0,90.0,0.0,65.0,0.22,2.3,1,6.0,15.0,0.5,30,2244.8,2244.8,67343,67343,4489.6,1683.6,,,,,404063,,,,,,,1,80,55,“错过的声音”
安洁莉娜,SUPPORT,slower,5,0,秘杖·速充模式,arts,base,0,0,682.0,542.0,75.0,0.0,65.0,0.0,2.1,1,1,35.0,1.7757009345794392,19,1432.2,1432.2,27211,27211,777.5,,,,,,,,,,,,,2,10,0,安洁莉娜特限证章
安洁莉娜,SUPPORT,slower,5,1,秘杖·微粒模式,arts,base,0,0,682.0,542.0,75.0,0.0,65.0,0.0,0.45,1,1,30.0,1.9158878504672894,15,306.9,306.9,4603,4603,153.5,131.5,,,,,,,,,,,,1,15,10,安洁莉娜特限证章
安洁莉娜,SUPPORT,slower,5,2,秘杖·反重力模式,arts,base,0,0,682.0,542.0,75.0,0.0,65.0,0.0,2.5,1,5.0,25.0,1.7757009345794392,14,1705.0,1705.0,23870,23870,954.8,596.8,,,,,119350,,,,,,,1,25,10,安洁莉娜特限证章
阿斯卡纶,SPECIAL,stalker,5,0,追袭,physical,base,0,0,1034.0,954.0,0.0,0.0,80.0,0.0,2.1,1,1,,,3,2171.4,2171.4,6514,6514,,383.2,,,,,,,,,,,,1,7,4,“阿斯卡纶的眼睛”
阿斯卡纶,SPECIAL,stalker,5,1,恩赐,physical,base,0,0,1034.0,954.0,0.0,0.0,80.0,0.0,2.3,1,1,35.0,3.240740740740741,10,2378.2,2378.2,23782,23782,679.5,594.5,,,,,,,,,,,,1,20,15,“阿斯卡纶的眼睛”
阿斯卡纶,SPECIAL,stalker,5,2,降临,physical,base,0,0,1034.0,954.0,0.0,0.0,80.0,0.0,1.5,1,1,45.0,1.8518518518518519,24,1551.0,1551.0,37224,37224,827.2,676.8,,,,,,,,,,,,1,45,35,“阿斯卡纶的眼睛”
百炼嘉维尔,WARRIOR,centurion,5,0,精准痛击,physical,base,0,0,1004.6,766.0,50.0,0.0,73.0,0.13,1.8,1,1,25.0,,1,1808.2,1808.2,1808,1808,72.3,45.2,,,,,,,,,,,,1,25,10,嘉维尔的折磨
百炼嘉维尔,WARRIOR,centurion,5,1,链锯强袭,physical,base,0,0,1004.6,766.0,50.0,0.0,73.0,0.13,2.8,1,1,40.0,,1,2812.8,2812.8,2812,2812,70.3,56.3,,,,,,,,,,,,1,35,25,嘉维尔的折磨
百炼嘉维尔,WARRIOR,centurion,5,2,丛林之魂,physical,base,0,0,1004.6,766.0,50.0,0.0,73.0,0.13,2.4,1,1,25.0,0.6,41,2411.0,2411.0,98849,98849,3954.0,2824.3,,,,,,,,,,,,1,35,25,嘉维尔的折磨
白铁,SUPPORT,craftsman,5,0,极致火力,physical,base,0,0,678.0,593.0,40.0,0.0,45.0,0.0,2.0,1,1,20.0,1.4285714285714286,14,1356.0,1356.0,18984,18984,949.2,421.9,,,,,,,,,,,,1,45,20,铁钳号·爬行者
白铁,SUPPORT,craftsman,5,1,高效补给,arts,base,0,0,678.0,593.0,40.0,0.0,45.0,0.0,1.6,1,1,30.0,1.4285714285714286,21,1084.8,1084.8,22780,22780,759.4,414.2,,,,,,,,,,,,1,50,25,铁钳号·爬行者
白铁,SUPPORT,craftsman,5,2,铁钳号·原型机,physical,base,0,0,678.0,593.0,40.0,0.0,45.0,0.0,1.55,1,1,30.0,0.9375,32,1050.9,1050.9,33628,33628,1121.0,747.3,,,,,,,,,,,,1,35,20,铁钳号·爬行者
贝洛内,WARRIOR,fighter,5,0,家主的余裕,physical,base,0,0,745.0,605.0,60.0,0.0,80.0,0.0,2.5,1,1,,,1,1862.5,1862.5,1862,1862,,,,,,,,,,,,,,2,3,0,实用的工具
贝洛内,WARRIOR,fighter,5,1,军师的手段,physical,base,0,0,745.0,605.0,60.0,0.0,80.0,0.0,2.0,1,3.0,22.0,0.43333333333333335,50,1490.0,1490.0,74500,74500,3386.4,2483.3,,,,,223500,,,,,,,1,22,14,实用的工具
贝洛内,WARRIOR,fighter,5,2,清算,physical,base,0,0,745.0,605.0,60.0,0.0,80.0,0.0,1.85,1,1,30.0,,1,1378.2,1378.2,1378,1378,45.9,36.3,,,,,,,,,,,,1,35,27,实用的工具
陈,WARRIOR,sword,5,0,鞘击,physical,base,0,0,856.7,610.0,50.0,0.0,85.0,0.15,3.2,1,1,,,1,2741.6,2741.6,2741,2741,,,,,,,,,,,,,,2,4,0,往昔时光
陈,WARRIOR,sword,5,1,赤霄·拔刀,physical,base,0,0,856.7,610.0,50.0,0.0,85.0,0.15,5.0,1,7.0,,,1,4283.7,4283.7,4283,4283,,,,,,,29986,,,,,,,2,20,20,往昔时光
陈,WARRIOR,sword,5,2,赤霄·绝影,physical,base,0,0,856.7,610.0,50.0,0.0,85.0,0.15,3.2,1,1,,,1,2741.6,2741.6,2741,2741,,,,,,,,,,,,,,2,30,20,往昔时光
澄闪,CASTER,funnel,5,0,火花四溅,arts,base,0,0,436.0,331.0,60.0,0.0,45.0,0.0,1.4,1,1,25.0,0.8280254777070064,30,610.4,610.4,18312,18312,732.5,457.8,,,,,,,,,,,,1,35,20,梦想终将实现
澄闪,CASTER,funnel,5,1,电流翻涌,arts,base,0,0,436.0,331.0,60.0,0.0,45.0,0.0,1.6,1,1,,,1,697.6,697.6,697,697,,10.0,,,,,,,,,,,,1,70,0,梦想终将实现
澄闪,CASTER,funnel,5,2,澄净闪耀,arts,base,0,0,436.0,331.0,60.0,0.0,45.0,0.0,1.8,1,1,30.0,1.2149532710280373,24,784.8,784.8,18835,18835,627.8,392.4,,,,,,,,,,,,1,35,17,梦想终将实现
赤刃明霄陈,WARRIOR,artsfghter,5,0,赤霄·奔夜,physical,base,0,0,937.9,670.0,100.0,0.0,60.0,0.13,2.2,1,1,18.0,1.1061946902654867,16,2063.4,2063.4,33014,33014,1834.1,1179.1,,,,,,,,,,,,1,20,10,记忆残页
赤刃明霄陈,WARRIOR,artsfghter,5,1,赤霄·绝影-驰,arts,base,0,0,937.9,670.0,100.0,0.0,60.0,0.13,4.8,1,1,6.0,1.1061946902654867,5,4501.9,4501.9,22509,22509,3751.6,2046.3,,,,,,,,,,,,1,20,15,记忆残页
赤刃明霄陈,WARRIOR,artsfghter,5,2,赤霄·天喟,arts,base,0,0,937.9,670.0,100.0,0.0,60.0,0.13,2.1,1,4.0,20.0,1.1061946902654867,18,1969.6,1969.6,35452,35452,1772.6,1313.1,,,,,141810,,,,,,,1,25,18,记忆残页
斥罪,TANK,unyield,5,1,坚心苦修,arts,base,0,0,1001.0,876.0,40.0,0.0,85.0,0.0,1.4,1,1,20.0,,1,1401.4,1401.4,1401,1401,70.1,46.7,,,,,,,,,,,,1,30,20,“无罪”
斥罪,TANK,unyield,5,2,披荆斩棘,physical,base,0,0,1001.0,876.0,40.0,0.0,85.0,0.0,5.0,1,1,30.0,2.5,12,5005.0,5005.0,60060,60060,2002.0,,,,,,,,,,,,,4,20,0,“无罪”
重岳,WARRIOR,fighter,5,0,冲盈,physical,base,0,0,725.0,590.0,60.0,0.0,75.0,0.0,4.0,1,1,,,3,2900.0,2900.0,8700,8700,,,,,,,,,,,,,,2,3,0,“朔”
重岳,WARRIOR,fighter,5,1,拂尘,physical,base,0,0,725.0,590.0,60.0,0.0,75.0,0.0,4.5,1,4.0,,,1,3262.5,3262.5,3262,3262,,3262.5,,,,,13050,,,,,,,1,10,9,“朔”
重岳,WARRIOR,fighter,5,2,我无,physical,base,0,0,725.0,590.0,60.0,0.0,75.0,0.0,3.8,1,1,,,1,2755.0,2755.0,2755,2755,,,,,,,,,,,,,,2,8,0,“朔”
纯烬艾雅法拉,MEDIC,wandermedic,5,0,无声润物,none,base,0,0,529.0,424.0,45.0,0.0,60.0,0.0,1.4,1,1,,,1,740.6,,740,,,,740,,12.3,,,,,,,,,1,60,0,想要留下的生命
淬羽赫默,SUPPORT,blessing,5,0,进取之心,arts,base,0,0,592.0,467.0,55.0,0.0,70.0,0.0,1.8,1,1,25.0,,1,1065.6,1065.6,1065,1065,42.6,26.6,,,,,,,,,,,,1,30,15,难得清醒
淬羽赫默,SUPPORT,blessing,5,2,无畏者协议,arts,base,0,0,592.0,467.0,55.0,0.0,70.0,0.0,1.3,1,1,60.0,,1,769.6,769.6,769,769,12.8,11.0,,,,,,,,,,,,1,30,20,难得清醒
嵯峨,PIONEER,pioneer,5,1,除恶,physical,base,0,0,685.0,530.0,85.0,0.0,70.0,0.0,4.0,1,1,,,3,2740.0,2740.0,8220,8220,,283.4,,,,,,,,,,,,1,13,10,何处寻驮？
嵯峨,PIONEER,pioneer,5,2,怒目,physical,base,0,0,685.0,530.0,85.0,0.0,70.0,0.0,2.3,1,1,20.0,1.55,12,1575.5,1575.5,18905,18905,945.3,590.8,,,,,,,,,,,,1,40,28,何处寻驮？
电弧,SUPPORT,summoner,5,1,环形鳞地,arts,base,0,0,617.1,466.0,20.0,0.0,65.0,0.12,1.8,1,1,25.0,1.6,15,1110.8,1110.8,16662,16662,666.5,1851.4,,,,,,,,,,,,1,25,16,新起点
